['0.00', '0.000000', '0.000000', '-68.13', '11.91', '16.75', '25.27', '39.73', '993.59', '680']
['0.00', '0.000000', '0.000000', '-68.13', '11.91', '16.75', '25.27', '39.73', '993.59', '681']
['0.00', '0.000000', '0.000000', '-68.13', '11.91', '16.75', '25.27', '39.73', '993.59', '681']
['0.00', '0.000000', '0.000000', '-68.13', '11.91', '16.75', '25.27', '39.73', '993.59', '681']
['0.00', '0.000000', '0.000000', '-68.13', '11.91', '16.75', '25.27', '39.73', '993.59', '681']
['0.00', '0.000000', '0.000000', '-68.13', '11.91', '16.75', '25.27', '39.73', '993.59', '681']
['0.00', '0.000000', '0.000000', '-68.13', '11.91', '16.75', '25.27', '39.73', '993.59', '681']
['0.00', '0.000000', '0.000000', '-67.09', '9.69', '3.15', '25.24', '39.60', '993.53', '683']
['0.00', '0.000000', '0.000000', '-67.09', '9.69', '3.15', '25.24', '39.60', '993.53', '683']
['0.00', '0.000000', '0.000000', '-67.09', '9.69', '3.15', '25.24', '39.60', '993.53', '683']
['0.00', '0.000000', '0.000000', '-67.09', '9.69', '3.15', '25.24', '39.60', '993.53', '684']
['0.00', '0.000000', '0.000000', '-67.09', '9.69', '3.15', '25.24', '39.60', '993.53', '684']
['0.00', '0.000000', '0.000000', '-67.09', '9.69', '3.15', '25.24', '39.60', '993.53', '684']
['0.00', '0.000000', '0.000000', '-67.73', '5.68', '-1.53', '25.48', '39.51', '993.88', '685']
['0.00', '0.000000', '0.000000', '-67.73', '5.68', '-1.53', '25.48', '39.51', '993.88', '685']
['0.00', '0.000000', '0.000000', '-67.73', '5.68', '-1.53', '25.48', '39.51', '993.88', '685']
['0.00', '0.000000', '0.000000', '-67.73', '5.68', '-1.53', '25.48', '39.51', '993.88', '686']
['0.00', '0.000000', '0.000000', '-67.73', '5.68', '-1.53', '25.48', '39.51', '993.88', '686']
['0.00', '0.000000', '0.000000', '-67.73', '5.68', '-1.53', '25.48', '39.51', '993.88', '686']
['0.00', '0.000000', '0.000000', '-67.73', '5.68', '-1.53', '25.48', '39.51', '993.88', '686']
['0.00', '0.000000', '0.000000', '-67.89', '6.09', '-1.27', '25.51', '39.40', '993.92', '687']
['0.00', '0.000000', '0.000000', '-67.89', '6.09', '-1.27', '25.51', '39.40', '993.92', '687']
['0.00', '0.000000', '0.000000', '-67.89', '6.09', '-1.27', '25.51', '39.40', '993.92', '687']
['0.00', '0.000000', '0.000000', '-67.89', '6.09', '-1.27', '25.51', '39.40', '993.92', '688']
['0.00', '0.000000', '0.000000', '-67.89', '6.09', '-1.27', '25.51', '39.40', '993.92', '688']
['0.00', '0.000000', '0.000000', '-67.89', '6.09', '-1.27', '25.51', '39.40', '993.92', '688']
['0.00', '0.000000', '0.000000', '-67.89', '6.09', '-1.27', '25.51', '39.40', '993.92', '689']
['0.00', '0.000000', '0.000000', '-67.89', '6.09', '-1.27', '25.51', '39.40', '993.92', '689']
['0.00', '0.000000', '0.000000', '-67.89', '6.09', '-1.27', '25.51', '39.40', '993.92', '689']
['0.00', '0.000000', '0.000000', '-68.05', '5.92', '-0.70', '25.51', '39.44', '993.97', '690']
['0.00', '0.000000', '0.000000', '-68.05', '5.92', '-0.70', '25.51', '39.44', '993.97', '690']
['0.00', '0.000000', '0.000000', '-68.05', '5.92', '-0.70', '25.51', '39.44', '993.97', '690']
['0.00', '0.000000', '0.000000', '-68.05', '5.92', '-0.70', '25.51', '39.44', '993.97', '691']
['0.00', '0.000000', '0.000000', '-68.05', '5.92', '-0.70', '25.51', '39.44', '993.97', '691']
['0.00', '0.000000', '0.000000', '-68.05', '5.92', '-0.70', '25.51', '39.44', '993.97', '691']
['0.00', '0.000000', '0.000000', '-68.05', '5.92', '-0.70', '25.51', '39.44', '993.97', '692']
['0.00', '0.000000', '0.000000', '-68.05', '5.92', '-0.70', '25.51', '39.44', '993.97', '692']
['0.00', '0.000000', '0.000000', '-68.05', '5.92', '-0.70', '25.51', '39.44', '993.97', '692']
['0.00', '0.000000', '0.000000', '-67.81', '6.60', '-0.73', '25.26', '39.47', '993.56', '693']
['0.00', '0.000000', '0.000000', '-67.81', '6.60', '-0.73', '25.26', '39.47', '993.56', '693']
['0.00', '0.000000', '0.000000', '-67.81', '6.60', '-0.73', '25.26', '39.47', '993.56', '693']
['0.00', '0.000000', '0.000000', '-67.81', '6.60', '-0.73', '25.26', '39.47', '993.56', '694']
['0.00', '0.000000', '0.000000', '-67.81', '6.60', '-0.73', '25.26', '39.47', '993.56', '694']
['0.00', '0.000000', '0.000000', '-67.81', '6.60', '-0.73', '25.26', '39.47', '993.56', '694']
['0.00', '0.000000', '0.000000', '-65.55', '19.00', '-0.39', '25.27', '39.60', '993.57', '695']
['0.00', '0.000000', '0.000000', '-65.55', '19.00', '-0.39', '25.27', '39.60', '993.57', '695']
['0.00', '0.000000', '0.000000', '-65.55', '19.00', '-0.39', '25.27', '39.60', '993.57', '695']
['0.00', '0.000000', '0.000000', '-65.55', '19.00', '-0.39', '25.27', '39.60', '993.57', '696']
['0.00', '0.000000', '0.000000', '-65.55', '19.00', '-0.39', '25.27', '39.60', '993.57', '696']
['0.00', '0.000000', '0.000000', '-65.55', '19.00', '-0.39', '25.27', '39.60', '993.57', '696']
['0.00', '0.000000', '0.000000', '-65.55', '19.00', '-0.39', '25.27', '39.60', '993.57', '697']
['0.00', '0.000000', '0.000000', '-65.55', '19.00', '-0.39', '25.27', '39.60', '993.57', '697']
['0.00', '0.000000', '0.000000', '-65.55', '19.00', '-0.39', '25.27', '39.60', '993.57', '697']
['0.00', '0.000000', '0.000000', '-63.81', '33.16', '0.01', '25.50', '39.64', '993.90', '698']
